Date,Open,High,Low,Close,Volume,Adj Close
2000-08-17,8059.02,8143.25,8000.46,8143.25,000,8143.25
2000-08-16,7870.58,8023.17,7870.58,8003.53,000,8003.53
2000-08-15,7883.84,7913.77,7821.74,7845.69,000,7845.69
2000-08-14,7977.42,7982.13,7838.50,7848.87,000,7848.87
2000-08-11,8012.64,8082.07,7962.05,7974.65,000,7974.65
2000-08-10,8087.10,8105.63,7988.39,8024.69,000,8024.69
2000-08-09,7866.11,8048.14,7866.11,8048.14,000,8048.14
2000-08-08,7751.28,7818.67,7670.28,7797.78,000,7797.78
2000-08-07,7804.00,7809.44,7680.53,7715.99,000,7715.99
2000-08-04,7881.72,8029.14,7856.60,7925.20,000,7925.20
2000-08-03,7888.32,7912.40,7736.19,7844.93,000,7844.93
2000-08-02,7985.83,8044.87,7910.28,7916.85,000,7916.85
2000-08-01,8171.58,8192.73,7979.24,7984.65,000,7984.65
2000-07-31,8126.80,8155.99,8068.09,8114.92,000,8114.92
2000-07-28,7861.04,8147.79,7861.04,8122.11,000,8122.11
2000-07-27,7932.86,7959.96,7723.44,7956.28,000,7956.28
2000-07-26,7944.90,8113.27,7922.81,7961.54,000,7961.54
2000-07-25,7984.79,8119.63,7900.39,7900.39,000,7900.39
2000-07-24,8132.39,8177.70,8064.20,8064.20,000,8064.20
2000-07-21,8273.04,8300.68,8058.14,8167.37,000,8167.37
2000-07-20,8355.21,8406.05,8210.53,8219.53,000,8219.53
2000-07-19,8275.48,8423.59,8270.57,8411.88,000,8411.88
2000-07-18,8582.75,8582.75,8367.05,8368.78,000,8368.78
2000-07-17,8601.26,8643.21,8564.97,8585.52,000,8585.52
2000-07-14,8309.67,8530.50,8309.67,8497.13,000,8497.13
2000-07-13,8101.38,8304.01,8101.38,8267.66,000,8267.66
2000-07-12,8168.56,8180.06,8025.19,8059.75,000,8059.75
2000-07-11,8153.81,8262.64,8116.02,8158.63,000,8158.63
2000-07-10,8209.86,8211.35,8015.38,8154.67,000,8154.67
2000-07-07,8318.47,8370.56,8169.77,8173.08,000,8173.08
2000-07-06,8291.27,8383.69,8277.94,8289.39,000,8289.39
2000-07-05,8079.28,8438.72,7988.54,8421.74,000,8421.74
2000-07-04,8329.77,8333.57,8024.55,8052.54,000,8052.54
2000-07-03,8260.95,8368.56,8138.72,8297.77,000,8297.77
2000-06-30,8159.41,8290.63,8050.02,8265.09,000,8265.09
2000-06-29,8433.90,8440.84,8112.08,8120.89,000,8120.89
2000-06-28,8429.05,8476.89,8248.95,8365.63,000,8365.63
2000-06-27,8587.40,8587.40,8412.01,8424.17,000,8424.17
2000-06-26,8672.80,8675.47,8507.42,8529.56,000,8529.56
2000-06-23,8742.21,8785.53,8682.02,8684.93,000,8684.93
2000-06-22,8623.40,8771.77,8616.85,8771.77,000,8771.77
2000-06-21,8733.20,8742.23,8631.64,8637.60,000,8637.60
2000-06-20,8861.03,8861.03,8688.21,8690.66,000,8690.66
2000-06-19,8786.37,8799.68,8653.62,8751.10,000,8751.10
2000-06-16,8858.62,8893.59,8791.67,8832.15,000,8832.15
2000-06-15,8943.21,8968.99,8826.69,8844.97,000,8844.97
2000-06-14,8978.65,9014.27,8911.38,8935.23,000,8935.23
2000-06-13,8905.45,8984.13,8879.52,8891.09,000,8891.09
2000-06-12,9073.83,9083.85,8935.47,8955.44,000,8955.44
2000-06-08,9151.31,9209.48,9055.72,9067.88,000,9067.88
2000-06-07,8943.63,9116.24,8943.63,9115.47,000,9115.47
2000-06-05,8967.41,8975.99,8894.82,8958.21,000,8958.21
2000-06-01,8936.43,8961.54,8815.43,8842.63,000,8842.63
2000-05-31,8969.65,8969.65,8879.43,8939.52,000,8939.52
2000-05-30,8668.70,8764.42,8641.43,8764.42,000,8764.42
2000-05-29,8597.59,8701.61,8571.35,8588.25,000,8588.25
2000-05-26,8397.01,8578.32,8386.37,8559.46,000,8559.46
2000-05-25,8609.80,8643.66,8418.50,8438.10,000,8438.10
2000-05-24,8496.06,8623.12,8470.56,8500.41,000,8500.41
2000-05-23,8811.44,8820.73,8634.73,8671.01,000,8671.01
2000-05-22,8903.32,8967.36,8800.37,8807.57,000,8807.57
2000-05-19,9030.68,9146.59,9030.57,9119.77,000,9119.77
2000-05-18,9026.39,9135.13,9002.03,9087.21,000,9087.21
2000-05-17,8885.24,9131.86,8885.24,9085.74,000,9085.74
2000-05-16,8534.18,8733.46,8496.44,8727.82,000,8727.82
2000-05-15,8639.94,8639.94,8456.53,8465.02,000,8465.02
2000-05-12,8472.82,8603.87,8454.72,8560.44,000,8560.44
2000-05-11,8427.34,8440.78,8281.68,8349.91,000,8349.91
2000-05-10,8695.13,8749.62,8557.31,8559.87,000,8559.87
2000-05-09,8607.65,8660.77,8566.64,8635.84,000,8635.84
2000-05-08,8669.47,8742.69,8538.50,8616.18,000,8616.18
2000-05-05,8389.90,8699.02,8343.37,8698.53,000,8698.53
2000-05-04,8444.07,8655.20,8338.92,8425.38,000,8425.38
2000-05-03,8505.46,8587.00,8395.23,8420.00,000,8420.00
2000-05-02,8836.83,8838.78,8632.57,8638.75,000,8638.75
2000-04-28,8594.48,8860.50,8478.48,8824.36,000,8824.36
2000-04-27,8587.03,8633.39,8458.40,8541.95,000,8541.95
2000-04-26,8992.62,9022.77,8465.76,8535.96,000,8535.96
2000-04-25,8702.96,8923.27,8672.41,8921.12,000,8921.12
2000-04-24,9128.95,9128.95,8807.71,8808.09,000,8808.09
2000-04-21,9167.15,9243.04,9105.31,9120.48,000,9120.48
2000-04-20,9084.86,9175.75,8943.89,9109.05,000,9109.05
2000-04-19,9435.02,9477.67,9104.40,9104.40,000,9104.40
2000-04-18,9292.74,9389.35,9238.35,9307.03,000,9307.03
2000-04-17,8848.16,9013.14,8796.77,8993.68,000,8993.68
2000-04-14,9517.45,9662.12,9370.13,9374.61,000,9374.61
2000-04-13,9655.43,9746.99,9564.72,9662.60,000,9662.60
2000-04-12,10101.44,10149.32,9906.32,9911.39,000,9911.39
2000-04-11,10108.98,10194.91,10059.41,10068.05,000,10068.05
2000-04-10,9979.23,10168.72,9956.65,10127.48,000,10127.48
2000-04-07,10069.52,10128.26,9908.88,9921.03,000,9921.03
2000-04-06,10252.08,10328.98,9969.28,9969.28,000,9969.28
2000-04-05,9923.74,10238.11,9923.74,10186.17,000,10186.17
2000-04-03,9892.78,10050.43,9816.22,10050.43,000,10050.43
2000-03-31,9903.56,10011.96,9798.61,9854.95,000,9854.95
2000-03-30,9846.64,10071.26,9846.64,9931.94,000,9931.94
2000-03-29,9844.41,9914.14,9794.48,9805.69,000,9805.69
2000-03-28,9919.75,9985.15,9772.54,9856.60,000,9856.60
2000-03-27,9531.91,9858.57,9531.91,9807.57,000,9807.57
2000-03-24,9571.28,9571.28,9405.14,9482.64,000,9482.64
2000-03-23,9198.45,9567.89,9198.45,9533.87,000,9533.87
2000-03-22,9009.07,9201.15,8908.32,9069.39,000,9069.39
2000-03-21,8380.79,9021.89,8355.89,9004.48,000,9004.48
2000-03-20,8483.41,8536.05,8483.41,8536.05,000,8536.05
2000-03-17,8700.99,8799.09,8610.58,8763.27,000,8763.27
2000-03-16,8357.63,8714.06,8250.46,8682.76,000,8682.76
2000-03-15,8794.30,8905.82,8634.49,8640.03,000,8640.03
2000-03-14,8694.87,8871.83,8598.07,8835.58,000,8835.58
2000-03-13,9229.49,9229.49,8807.36,8811.95,000,8811.95
2000-03-10,9706.02,9712.39,9422.08,9429.60,000,9429.60
2000-03-09,9453.70,9587.27,9453.70,9587.27,000,9587.27
2000-03-08,9413.57,9482.18,9379.29,9389.49,000,9389.49
2000-03-07,9340.49,9440.32,9286.39,9380.07,000,9380.07
2000-03-06,9519.80,9519.80,9356.58,9367.91,000,9367.91
2000-03-03,9557.66,9650.74,9547.40,9588.03,000,9588.03
2000-03-02,9781.27,9781.27,9538.12,9543.82,000,9543.82
2000-03-01,9572.24,9689.10,9572.24,9689.10,000,9689.10
2000-02-29,9525.65,9581.00,9410.11,9435.94,000,9435.94
2000-02-25,9620.92,9639.12,9407.79,9432.49,000,9432.49
2000-02-24,9725.30,9781.31,9582.00,9599.17,000,9599.17
2000-02-23,9738.19,9803.81,9623.46,9642.26,000,9642.26
2000-02-22,9853.16,9917.13,9596.68,9731.93,000,9731.93
2000-02-21,10165.24,10212.99,9912.67,9912.67,000,9912.67
2000-02-18,10311.27,10393.59,10062.23,10096.38,000,10096.38
2000-02-17,10109.85,10267.46,10109.85,10202.20,000,10202.20
2000-02-16,10010.90,10100.00,10010.90,10064.50,000,10064.50
2000-02-15,9993.63,10014.20,9853.86,9957.74,000,9957.74
2000-02-14,10152.50,10167.70,9963.50,9971.45,000,9971.45
2000-02-11,10171.80,10227.30,10096.50,10128.70,000,10128.70
2000-02-10,10028.30,10098.30,9957.66,10057.70,000,10057.70
2000-02-09,10137.20,10137.20,9932.07,10008.90,000,10008.90
2000-02-01,9829.68,9901.80,9800.63,9856.39,000,9856.39
2000-01-31,9653.24,9749.51,9613.80,9744.89,000,9744.89
2000-01-28,9627.92,9753.72,9627.92,9696.91,000,9696.91
2000-01-27,9684.45,9733.26,9618.30,9628.98,000,9628.98
2000-01-26,9469.74,9617.32,9469.74,9581.96,000,9581.96
2000-01-25,9412.24,9413.21,9308.01,9372.37,000,9372.37
2000-01-24,9327.98,9425.87,9327.98,9387.07,000,9387.07
2000-01-21,9183.56,9305.27,9183.56,9255.94,000,9255.94
2000-01-20,9175.27,9211.34,9077.70,9136.95,000,9136.95
2000-01-19,9255.70,9335.73,9136.76,9151.44,000,9151.44
2000-01-18,9353.89,9353.89,9210.36,9250.19,000,9250.19
2000-01-17,9256.57,9384.52,9230.39,9315.43,000,9315.43
2000-01-14,9219.37,9236.85,8967.56,9023.24,000,9023.24
2000-01-13,9215.76,9237.85,9095.35,9107.19,000,9107.19
2000-01-12,8964.78,9144.65,8937.31,9144.65,000,9144.65
2000-01-11,9254.18,9332.52,8890.45,8927.03,000,8927.03
2000-01-10,8941.93,9126.02,8891.79,9102.60,000,9102.60
2000-01-07,8853.43,8940.77,8739.43,8849.87,000,8849.87
2000-01-06,8900.56,9023.99,8833.91,8922.03,000,8922.03
2000-01-05,8690.60,8867.68,8668.02,8849.87,000,8849.87
2000-01-04,8644.91,8803.61,8642.50,8756.55,000,8756.55
1999-12-28,8451.72,8480.50,8376.29,8448.84,000,8448.84
1999-12-27,8274.83,8415.07,8253.79,8415.07,000,8415.07
1999-12-24,8144.84,8225.39,8144.84,8219.45,000,8219.45
1999-12-23,8043.88,8117.73,8013.18,8083.49,000,8083.49
1999-12-22,8033.37,8079.57,7979.72,8002.76,000,8002.76
1999-12-21,7819.18,7946.05,7815.85,7934.26,000,7934.26
1999-12-20,7821.95,7827.49,7741.84,7782.94,000,7782.94
1999-12-17,7762.88,7792.99,7684.64,7723.22,000,7723.22
1999-12-16,7891.08,7904.84,7721.50,7739.76,000,7739.76
1999-12-15,7832.26,7895.22,7831.87,7859.89,000,7859.89
1999-12-14,7921.20,7932.47,7841.82,7850.14,000,7850.14
1999-12-13,7782.48,7883.61,7782.48,7883.61,000,7883.61
1999-12-10,7764.83,7767.99,7687.36,7733.74,000,7733.74
1999-12-09,7797.61,7862.37,7728.77,7738.84,000,7738.84
1999-12-08,7826.85,7910.76,7798.92,7811.02,000,7811.02
1999-12-07,7899.85,7907.01,7812.29,7827.05,000,7827.05
1999-12-06,7982.74,7982.74,7859.76,7894.46,000,7894.46
1999-12-03,7880.49,7957.09,7858.58,7933.17,000,7933.17
1999-12-02,7802.83,7872.58,7773.75,7806.26,000,7806.26
1999-12-01,7702.18,7767.08,7684.42,7766.20,000,7766.20
1999-11-30,7884.23,7884.23,7707.17,7720.87,000,7720.87
1999-11-29,7706.12,7823.90,7688.58,7823.90,000,7823.90
